estimator,true_mass,m_hat,sigma,err_pct
pid_error,0.01,0.009009878420963863,2.7131693879333696e-05,-9.9012
pid_error,0.0135,0.012245986449241249,2.6569172223922067e-05,-9.2890
pid_error,0.0182,0.01658546142432087,2.6017777792411283e-05,-8.8711
pid_error,0.0246,0.02249376348592939,2.554863176691836e-05,-8.5619
pid_error,0.0332,0.030421730673023402,2.509047531784271e-05,-8.3683
pid_error,0.0449,0.04119332325611381,2.496180022390303e-05,-8.2554
pid_error,0.0606,0.055684644514476536,3.3496544153593596e-05,-8.1111
pid_error,0.0818,0.07521137498470008,6.070791712792649e-05,-8.0546
pid_error,0.1104,0.10148084263934226,0.00011043778079619712,-8.0789
pid_error,0.1491,0.13701862095440578,0.00017475573933001362,-8.1029
pid_error,0.2013,0.18493503577918094,0.0002368771749011077,-8.1296
pid_error,0.2717,0.24935610202534306,0.0002488413740125193,-8.2237
pid_error,0.3669,0.3359518609101151,0.00025892272810932974,-8.4350
pid_error,0.4953,0.4522140683736549,0.000273736398819458,-8.6990
pid_error,0.6687,0.6088651286984922,0.00030435961584589943,-8.9479
pid_error,0.9029,0.8183208994086181,0.0003207357333532738,-9.3675
pid_error,1.219,1.097982741586994,0.0016076900068365254,-9.9276
pid_error,1.6458,1.4725951116566969,0.0010997427266295978,-10.5241
pid_error,2.222,1.9833832886559102,0.0028371764128423296,-10.7388
pid_error,3.0,2.6524914322328272,0.005948312413303162,-11.5836
lyapunov,0.01,0.050796738852288414,,407.9674
lyapunov,0.0135,0.04743189133365241,,251.3473
lyapunov,0.0182,0.046135883260395076,,153.4939
lyapunov,0.0246,0.04737707737896237,,92.5897
lyapunov,0.0332,0.051687962051694916,,55.6866
lyapunov,0.0449,0.05955003385248653,,32.6281
lyapunov,0.0606,0.07235954741991901,,19.4052
lyapunov,0.0818,0.09106508532193588,,11.3265
lyapunov,0.1104,0.11735989044552136,,6.3042
lyapunov,0.1491,0.15383399427329839,,3.1750
lyapunov,0.2013,0.20366091660839933,,1.1728
lyapunov,0.2717,0.2714589908604543,,-0.0887
lyapunov,0.3669,0.36286294084554016,,-1.1003
lyapunov,0.4953,0.48602901225244444,,-1.8718
lyapunov,0.6687,0.6525341775475619,,-2.4175
lyapunov,0.9029,0.8754823506949865,,-3.0366
lyapunov,1.219,1.1738756700268773,,-3.7017
lyapunov,1.6458,1.574900058393999,,-4.3079
lyapunov,2.222,2.120987691752594,,-4.5460
lyapunov,3.0,2.8327267872170587,,-5.5758
momentum_observer,0.01,0.008607874428682534,0.0015160184756743687,-13.9213
momentum_observer,0.0135,0.011734007474105636,0.0013066334520284609,-13.0814
momentum_observer,0.0182,0.01592966245735134,0.001024835789333067,-12.4744
momentum_observer,0.0246,0.021651389643339205,0.0006417496645957009,-11.9862
momentum_observer,0.0332,0.02934228635512071,0.00012499605602671774,-11.6196
momentum_observer,0.0449,0.03981581444251358,0.0005809007295120963,-11.3234
momentum_observer,0.0606,0.05395712400212067,0.0015325408833082195,-10.9618
momentum_observer,0.0818,0.0730433172194099,0.002817934913273497,-10.7050
momentum_observer,0.1104,0.09880153505474655,0.004547945456309138,-10.5059
momentum_observer,0.1491,0.13387899877898912,0.006901140920371372,-10.2086
momentum_observer,0.2013,0.1815756578019453,0.010052657171938663,-9.7985
momentum_observer,0.2717,0.24635774720316214,0.014263567153748522,-9.3273
momentum_observer,0.3669,0.3342664841912903,0.019925420484670147,-8.8944
momentum_observer,0.4953,0.4585095158201923,1.281605367967953e-05,-7.4279
momentum_observer,0.6687,0.6332289302518562,1.862392165183463e-05,-5.3045
momentum_observer,0.9029,0.868684786758297,2.395691256389077e-05,-3.7895
momentum_observer,1.219,1.1864763436294008,4.093582859121885e-05,-2.6681
momentum_observer,1.6458,1.6175436271991748,0.0009454800738430205,-1.7169
momentum_observer,2.222,2.203450512345999,0.0003274003962963573,-0.8348
momentum_observer,3.0,2.9737067486923956,0.0009663928419422455,-0.8764
